Namespace(gpu=3, seed=0, root_dir='/data', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/celeba/gb.csv', arch='resnet50', batch_size=128, num_epochs=50, lr=0.0001, weight_decay=0.1, momentum=0.9)
GB | Epoch 0 | Loss: 0.3464018702507019 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.3508027493953705 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.3364173173904419 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.29288575053215027 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.303318053483963 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.29915478825569153 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.3640737235546112 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.3831479251384735 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.3079572319984436 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.32935917377471924 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.3026795983314514 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.32953768968582153 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.3555057942867279 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.28732746839523315 | Accuracy: 92.96875%
GB | Epoch 0 | Loss: 0.31740984320640564 | Accuracy: 93.75%
GB | Epoch 0 | Loss: 0.3330153226852417 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.35231056809425354 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.3309798836708069 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.26409903168678284 | Accuracy: 93.75%
