Namespace(gpu=0, seed=0, root_dir='/data/spucosun/3.0', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/spuco_animals_clip/results.csv', stdout_file='2024-01-2414:38:12.344634-spuco_sun_lrmix.out', arch='cliprn50', batch_size=128, num_epochs=40, lr=0.0001, weight_decay=0.0001, momentum=0.9, wandb=False, wandb_project='spuco', wandb_entity=None, wandb_run_name='spuco_sun_lrmix')
ERM | Epoch 1 | Loss: 1.353904128074646 | Accuracy: 40.625%
ERM | Epoch 1 | Loss: 1.3444620370864868 | Accuracy: 53.125%
ERM | Epoch 1 | Loss: 1.3515251874923706 | Accuracy: 47.65625%
ERM | Epoch 1 | Loss: 1.3537510633468628 | Accuracy: 45.3125%
ERM | Epoch 1 | Loss: 1.3406367301940918 | Accuracy: 50.0%
ERM | Epoch 1 | Loss: 1.354583740234375 | Accuracy: 44.53125%
ERM | Epoch 1 | Loss: 1.3540650606155396 | Accuracy: 46.09375%
ERM | Epoch 1 | Loss: 1.3425414562225342 | Accuracy: 45.3125%
ERM | Epoch 1 | Loss: 1.339016079902649 | Accuracy: 49.21875%
ERM | Epoch 1 | Loss: 1.3520500659942627 | Accuracy: 46.09375%
ERM | Epoch 1 | Loss: 1.350526213645935 | Accuracy: 45.3125%
ERM | Epoch 1 | Loss: 1.3456932306289673 | Accuracy: 49.21875%
ERM | Epoch 1 | Loss: 1.3418095111846924 | Accuracy: 46.09375%
ERM | Epoch 1 | Loss: 1.3403290510177612 | Accuracy: 47.65625%
ERM | Epoch 1 | Loss: 1.346275806427002 | Accuracy: 45.3125%
ERM | Epoch 1 | Loss: 1.3457499742507935 | Accuracy: 50.0%
ERM | Epoch 1 | Loss: 1.3457560539245605 | Accuracy: 47.65625%
ERM | Epoch 1 | Loss: 1.3411798477172852 | Accuracy: 50.78125%
ERM | Epoch 1 | Loss: 1.3416184186935425 | Accuracy: 54.6875%
ERM | Epoch 1 | Loss: 1.3428739309310913 | Accuracy: 50.78125%
